brand,model,body_type,energy,vehicle_price_eur,co2_mixed_g_km,fuel_consumption_l_100km,electric_range_km,max_power_kw,vehicle_weight_kg,eco_bonus_malus_eur,power_weight_ratio
B.M.W.,SERIE 2,berline,essence,38363,154.9,6.815,0.0,100.0,1350,Malus,0.07407407407407407
KIA,SPORTAGE,ts terrains/chemins,ess+elec hnr,34078,153.77,6.768,0.0,110.1,1486,Malus,0.07409152086137281
B.M.W.,SERIE 5,break,gaz+elec hnr,72588,171.6,6.555,0.0,210.0,1925,Malus,0.10909090909090909
B.M.W.,SERIE X,ts terrains/chemins,gazole,40617,150.7,5.753,0.0,85.0,1475,Malus,0.0576271186440678
RENAULT,CAPTUR,ts terrains/chemins,ess+elec hnr,30200,142.43,6.302,0.0,116.0,1298,Malus,0.08936825885978428
HYUNDAI,SANTA FE,ts terrains/chemins,ess+elec hnr,49683,157.0,6.908,0.0,132.2,1780,Malus,0.0742696629213483
RENAULT,TRAFIC,minibus,gazole,47700,206.39,7.861,0.0,125.0,2245,Malus,0.0556792873051225
HYUNDAI,TUCSON,ts terrains/chemins,ess+elec hnr,32400,153.77,6.768,0.0,110.1,1463,Malus,0.07525632262474367
VOLKSWAGEN,T-ROC,ts terrains/chemins,essence,34790,144.3,6.395,0.0,110.0,1270,Malus,0.08661417322834646
MINI,MINI,ts terrains/chemins,essence,51800,188.5,8.267,0.0,225.0,1605,Malus,0.14018691588785046
FORD,FIESTA,berline,superethanol,23090,137.55,8.399,0.0,69.9,1114,Neutre 0,0.06274685816876123
B.M.W.,SERIE 2,monospace compact,ess+elec hnr,38638,149.9,6.584,0.0,115.0,1520,Malus,0.0756578947368421
VOLKSWAGEN,CADDY,combispace,essence,37713,170.4,7.512,0.0,84.0,1581,Malus,0.05313092979127135
B.M.W.,SERIE 4,coupe,gaz+elec hnr,62850,157.5,6.009,0.0,210.0,1780,Malus,0.11797752808988764
FORD,FIESTA,berline,superethanol,21340,137.55,8.399,0.0,69.9,1114,Neutre 0,0.06274685816876123
B.M.W.,SERIE 4,berline,gaz+elec hnr,56383,143.3,5.47,0.0,140.0,1705,Malus,0.08211143695014662
FORD,FIESTA,berline,superethanol,23090,137.55,8.399,0.0,69.9,1114,Neutre 0,0.06274685816876123
PEUGEOT,2008,ts terrains/chemins,electric,40300,,0.0,311.0,0.0,1548,Bonus 4000,0.0
NISSAN,QASHQAI,ts terrains/chemins,ess+elec hnr,34540,151.0,6.693,0.0,103.0,1329,Malus,0.07750188111361926
AUDI,Q3 SPORTBACK,ts terrains/chemins,essence,44365,153.34,6.796,0.0,110.0,1450,Malus,0.07586206896551724
FORD,FIESTA,berline,ess+elec hnr,24190,136.39,6.046,0.0,91.9,1136,Neutre 0,0.08089788732394367
MINI,MINI,berline,essence,37750,151.1,6.652,0.0,131.0,1280,Malus,0.10234375
B.M.W.,SERIE 1,berline,essence,34600,154.9,6.815,0.0,100.0,1290,Malus,0.07751937984496124
B.M.W.,SERIE 2,coupe,essence,45650,158.6,6.985,0.0,135.0,1490,Malus,0.09060402684563758
TOYOTA,YARIS,berline,ess+elec hnr,25263,111.67,4.93,0.0,68.0,1085,Neutre 0,0.06267281105990784
RENAULT,TWINGO,berline,electric,25950,,0.0,178.0,0.0,1111,Bonus 6000,0.0
ALFA ROMEO,STELVIO,ts terrains/chemins,gazole,56350,170.8,6.515,0.0,140.0,1745,Malus,0.08022922636103152
B.M.W.,SERIE X,ts terrains/chemins,essence,40217,160.7,7.068,0.0,100.0,1410,Malus,0.07092198581560284
KIA,NIRO,ts terrains/chemins,ess+elec hnr,34850,119.06,5.234,0.0,77.2,1415,Neutre 0,0.0545583038869258
B.M.W.,SERIE 1,berline,essence,37510,155.2,6.809,0.0,100.0,1320,Malus,0.07575757575757576
MINI,MINI,berline,essence,28050,140.1,6.161,0.0,75.0,1235,Malus,0.06072874493927125
B.M.W.,SERIE X,ts terrains/chemins,gaz+elec hnr,62150,173.8,6.637,0.0,140.0,1840,Malus,0.07608695652173914
MINI,MINI,berline,essence,33325,145.7,6.416,0.0,100.0,1230,Neutre 0,0.08130081300813008
MITSUBISHI,SPACE STAR,berline,essence,16090,125.0,5.503,0.0,52.0,910,Neutre 0,0.05714285714285714
B.M.W.,SERIE 5,break,gaz+elec hnr,57613,150.9,5.766,0.0,110.0,1755,Malus,0.06267806267806268
VOLKSWAGEN,T-ROC,ts terrains/chemins,gazole,44513,153.8,5.864,0.0,110.0,1485,Malus,0.07407407407407407
PORSCHE,PANAMERA 4 E-HYBRID,break,elec+essenc hr,128315,62.1,2.7,45.0,243.0,2225,Neutre 0,0.10921348314606742
RENAULT,KANGOO,combispace,gazole,28050,158.13,6.028,0.0,70.0,1577,Malus,0.04438807863031072
B.M.W.,SERIE X,ts terrains/chemins,essence,42517,165.1,7.265,0.0,100.0,1430,Malus,0.06993006993006994
VOLKSWAGEN,T-ROC,ts terrains/chemins,gazole,40975,145.4,5.545,0.0,110.0,1380,Malus,0.07971014492753623
B.M.W.,SERIE 4,coupe,essence,53100,163.6,7.201,0.0,135.0,1525,Malus,0.08852459016393442
MINI,MINI,ts terrains/chemins,essence,32880,157.3,6.891,0.0,75.0,1390,Malus,0.0539568345323741
RENAULT,KANGOO,combispace,gazole,28050,158.13,6.028,0.0,70.0,1586,Malus,0.044136191677175286
OPEL,MOKKA,ts terrains/chemins,electric,41467,,0.0,324.0,0.0,1523,Bonus 6000,0.0
B.M.W.,SERIE 2,coupe,essence,61550,204.0,8.973,0.0,275.0,1690,Malus,0.16272189349112426
B.M.W.,SERIE X,ts terrains/chemins,essence,40217,160.7,7.068,0.0,100.0,1410,Malus,0.07092198581560284
B.M.W.,SERIE X,ts terrains/chemins,essence,42317,165.1,7.265,0.0,100.0,1430,Malus,0.06993006993006994
NISSAN,QASHQAI,ts terrains/chemins,ess+elec hnr,34540,151.0,6.693,0.0,103.0,1329,Malus,0.07750188111361926
B.M.W.,SERIE 2,berline,essence,36950,154.9,6.815,0.0,100.0,1350,Malus,0.07407407407407407
B.M.W.,SERIE 1,berline,essence,37510,155.2,6.809,0.0,100.0,1320,Malus,0.07575757575757576
VOLKSWAGEN,CADDY,combispace,gazole,37343,150.7,5.747,0.0,90.0,1568,Malus,0.05739795918367347
DACIA,JOGGER,break,ess+g.p.l.,19148,140.5,6.234,0.0,67.0,1223,Neutre 0,0.05478331970564186
DACIA,JOGGER,break,ess+g.p.l.,19148,122.95,7.976,0.0,74.0,1223,Neutre 0,0.06050695012264922
B.M.W.,SERIE X,ts terrains/chemins,essence,42517,165.1,7.265,0.0,100.0,1430,Malus,0.06993006993006994
PORSCHE,PANAMERA 4 E-HYBRID,berline,elec+essenc hr,125222,50.8,2.2,53.0,243.0,2210,Neutre 0,0.10995475113122172
TOYOTA,C-HR,ts terrains/chemins,ess+elec hnr,36894,127.95,5.65,0.0,112.0,1485,Neutre 0,0.07542087542087542
SKODA,KAROQ,ts terrains/chemins,essence,30490,138.1,6.09,0.0,81.0,1284,Malus,0.0630841121495327
B.M.W.,SERIE 5,break,elec+essenc hr,68188,44.62,1.96,50.4,135.0,1900,Neutre 0,0.07105263157894737
B.M.W.,SERIE 4,coupe,gaz+elec hnr,62850,157.5,6.009,0.0,210.0,1780,Malus,0.11797752808988764
B.M.W.,SERIE X,ts terrains/chemins,gaz+elec hnr,68850,185.7,7.092,0.0,210.0,1935,Malus,0.10852713178294573
DS,DS 7 CROSSBACK,ts terrains/chemins,elec+essenc hr,57560,40.6,1.797,53.0,133.0,1760,Neutre 0,0.07556818181818181
